Ano ,Partido,filiados24,prop24,filiados34,prop34,Total
2008,BRASIL,,0.182,,0.3516,
2008,AVANTE,8463,0.066850981,35950,0.28397646,126595
2008,CIDADANIA,21352,0.051821595,119140,0.289154404,412029
2008,DC,13379,0.100725003,50042,0.376745692,132827
2008,DEM,41766,0.041287764,208218,0.205833827,1011583
2008,MEDIA,,0.071153113,,0.34866058,
2008,MDB,77630,0.037362352,321138,0.154559718,2077760
2008,PCB,1141,0.0695859,4599,0.280478136,16397
2008,PCDOB,20495,0.085374845,58543,0.243869215,240059
2008,PCO,129,0.040299906,1042,0.325523274,3201
2008,PDT,44952,0.04381641,186692,0.181975735,1025917
2008,PHS,10004,0.093205258,39740,0.370249597,107333
2008,PL,33393,0.046073037,1683830,2.323216296,724784
2008,PMN,7949,0.04255809,38729,0.207350894,186780
2008,PODE,9063,0.0963411,35445,0.376785866,94072
2008,PP,37429,0.029274111,188805,0.14766888,1278570
2008,PRP,8306,0.045983248,42939,0.237716671,180631
2008,PRTB,7752,0.087575408,4157,0.0469622,88518
2008,PSB,30811,0.072144406,124241,0.290912114,427074
2008,PSC,17988,0.0670601,70885,0.264262574,268237
2008,PSDB,61173,0.051080171,279951,0.233762362,1197588
2008,PSL,12063,0.075001399,53891,0.335065936,160837
2008,PSOL,5688,0.188963822,14223,0.472509219,30101
2008,PSTU,357,0.026196067,3437,0.25220135,13628
2008,PT,75821,0.064814134,319335,0.272977427,1169822
2008,PTB,41717,0.040141641,208176,0.200314652,1039245
2008,PTC,7851,0.056079773,28311,0.202225762,139997
2008,PV,24760,0.098110695,91974,0.364443987,252368
2008,REPUBLICANOS,36695,0.203406836,85347,0.473093425,180402
2010,BRASIL,,0.178,,0.3487,
2010,AVANTE,5447,0.040420906,31321,0.232425774,134757
2010,CIDADANIA,12039,0.02704269,105155,0.236205173,445185
2010,DC,8579,0.060999716,45725,0.325120876,140640
2010,DEM,25922,0.023512871,180894,0.164082144,1102460
2010,MEDIA,,0.043897236,,0.234694791,
2010,MDB,53161,0.022961801,297882,0.128664003,2315193
2010,PCB,630,0.008272167,3643,0.047834136,76159
2010,PCDOB,16052,0.059305565,72897,0.269324555,270666
2010,PCO,39,0.013584117,787,0.274120515,2871
2010,PDT,31623,0.02799432,172662,0.15284936,1129622
2010,PHS,6142,0.053831861,36504,0.319941102,114096
2010,PL,19565,0.026742244,135954,0.185827499,731614
2010,PMN,4878,0.024804861,31590,0.160636648,196655
2010,PODE,5558,0.055367389,32421,0.322969796,100384
2010,PP,24296,0.017743385,161891,0.118229108,1369299
2010,PRP,4681,0.024643587,35139,0.184992735,189948
2010,PRTB,4895,0.052672922,29553,0.318006715,92932
2010,PSB,22787,0.04626276,121083,0.245825855,492556
2010,PSC,14544,0.047788657,69144,0.227193271,304340
2010,PSDB,41690,0.031698408,251514,0.191235151,1315208
2010,PSL,7044,0.041748407,46175,0.273670173,168725
2010,PSOL,6027,0.146197696,18249,0.442668284,41225
2010,PSTU,171,0.013635276,2263,0.18044813,12541
2010,PT,68653,0.049247546,347871,0.249541799,1394039
2010,PTB,28606,0.024667873,188112,0.162215021,1159646
2010,PTC,4793,0.032365891,25454,0.171884285,148088
2010,PV,16674,0.060896687,86158,0.314665751,273808
2010,REPUBLICANOS,33379,0.150815776,96537,0.436181508,221323
2012,BRASIL,,0.1745,,0.3461,
2012,AVANTE,9082,0.054485026,40118,0.240677193,166688
2012,CIDADANIA,12266,0.026245742,99030,0.211895959,467352
2012,DC,9080,0.054588303,49977,0.300458109,166336
2012,DEM,23173,0.021161398,161936,0.147878655,1095060
2012,MEDIA,,0.05244101,,0.247092435,
2012,MDB,49705,0.021096267,298261,0.126590762,2356104
2012,PATRIOTA,32,0.129032258,96,0.387096774,248
2012,PCB,371,0.023798833,3729,0.239207133,15589
2012,PCDOB,20572,0.060605882,93849,0.276482667,339439
2012,PCO,12,0.004368402,599,0.218056061,2747
2012,PDT,35587,0.029431589,188712,0.15607087,1209143
2012,PHS,8246,0.057337552,43598,0.303153357,143815
2012,PL,19794,0.025890213,131899,0.172521634,764536
2012,PMN,7501,0.035144024,29579,0.138584869,213436
2012,PODE,7403,0.058192366,39208,0.308200226,127216
2012,PP,29321,0.020714952,167617,0.1184195,1415451
2012,PPL,2153,0.145738848,5966,0.403844852,14773
2012,PRP,7618,0.035294499,40887,0.189431109,215841
2012,PRTB,6074,0.053067037,34063,0.297600014,114459
2012,PSB,28885,0.049699412,142131,0.244550013,581194
2012,PSC,19305,0.05274691,86307,0.235815986,365993
2012,PSD,23816,0.132058732,67761,0.375731935,180344
2012,PSDB,41277,0.030443027,245971,0.181410998,1355877
2012,PSL,9292,0.046457445,51745,0.258710771,200011
2012,PSOL,7882,0.117529524,27974,0.417123941,67064
2012,PSTU,466,0.032870142,3660,0.258164633,14177
2012,PT,38128,0.024572932,340466,0.2194253,1551626
2012,PTB,24831,0.021030442,101853,0.086263686,1180717
2012,PTC,7204,0.041445888,33946,0.195297353,173817
2012,PV,20268,0.05999041,102143,0.302328817,337854
2012,REPUBLICANOS,31317,0.108192236,116298,0.401779884,289457
2014,BRASIL,,0.1713,,0.3419,
2014,AVANTE,5921,0.035092814,34254,0.203017946,168724
2014,CIDADANIA,7002,0.015114133,76421,0.164958178,463275
2014,DC,5256,0.031382477,41629,0.248558054,167482
2014,DEM,12036,0.011086742,124328,0.114522471,1085621
2014,MEDIA,,0.048394457,,0.216635722,
2014,MDB,31790,0.013510073,252453,0.107287153,2353059
2014,PATRIOTA,1867,0.149121406,5106,0.407827476,12520
2014,PCB,167,0.011030383,2477,0.163606341,15140
2014,PCDOB,14481,0.040599531,86777,0.243291587,356679
2014,PCO,10,0.003770739,434,0.163650075,2652
2014,PDT,21644,0.017937844,158253,0.131154946,1206611
2014,PHS,7526,0.047729579,42036,0.266590563,157680
2014,PL,11650,0.015228042,106038,0.138605242,765036
2014,PMN,4678,0.02244011,30607,0.146820105,208466
2014,PODE,4937,0.037885997,19994,0.153431764,130312
2014,PP,19146,0.013540531,137968,0.09757443,1413977
2014,PPL,1786,0.105040287,6160,0.362289008,17003
2014,PROS,3180,0.142780172,8857,0.39767421,22272
2014,PRP,6275,0.028052968,37724,0.168648629,223684
2014,PRTB,4042,0.034159575,29359,0.248117505,118327
2014,PSB,17442,0.029828387,119402,0.204194991,584745
2014,PSC,12139,0.032611382,75024,0.20155172,372232
2014,PSD,18868,0.096544596,65610,0.335716077,195433
2014,PSDB,25790,0.019120232,203252,0.150687298,1348833
2014,PSL,5465,0.027275903,42140,0.210321421,200360
2014,PSOL,9182,0.100622452,36350,0.398347433,91252
2014,PSTU,1826,0.106528207,4499,0.262470101,17141
2014,PT,42745,0.026939577,323009,0.203572952,1586699
2014,PTB,15707,0.013273435,139213,0.117644027,1183341
2014,PTC,4762,0.026868737,29586,0.166933737,177232
2014,PV,12065,0.03550127,86482,0.254473337,339847
2014,REPUBLICANOS,18553,0.060427123,27933,0.090977784,307031
2014,SOLIDARIEDADE,4283,0.150995946,11568,0.407826547,28365
2016,BRASIL,,0.167,,0.3353,
2016,AVANTE,6437,0.034699499,35585,0.191825645,185507
2016,CIDADANIA,8502,0.01762383,67702,0.140339749,482415
2016,DC,5668,0.030430254,40905,0.219610012,186262
2016,DEM,13124,0.011971656,107603,0.098154993,1096256
2016,MEDIA,,0.053494551,,0.225186088,
2016,MDB,36262,0.015099377,242922,0.10115192,2401556
2016,NOVO,327,0.037066425,2889,0.327476763,8822
2016,PATRIOTA,8908,0.122623718,26269,0.361607819,72645
2016,PCB,108,0.007282535,1936,0.13054619,14830
2016,PCDOB,14422,0.036792224,87291,0.222689644,391985
2016,PCO,71,0.024174328,437,0.148791284,2937
2016,PDT,21606,0.017278276,150895,0.120670435,1250472
2016,PHS,13085,0.062211171,55648,0.2645722,210332
2016,PL,14130,0.017677946,100549,0.125796164,799301
2016,PMB,5726,0.149730663,15008,0.392448094,38242
2016,PMN,6219,0.027825628,33288,0.148940264,223499
2016,PODE,7353,0.045527157,39419,0.244068405,161508
2016,PP,20581,0.014313364,131209,0.09125126,1437887
2016,PPL,4276,0.108168273,14147,0.357871038,39531
2016,PROS,11580,0.127275125,34545,0.379682142,90984
2016,PRP,8412,0.033593176,42901,0.171324399,250408
2016,PRTB,5126,0.03763887,30732,0.225656991,136189
2016,PSB,20190,0.031147938,123653,0.190764536,648197
2016,PSC,15106,0.035831871,83046,0.196987523,421580
2016,PSD,26599,0.083838696,99994,0.315176005,317264
2016,PSDB,34220,0.023660195,209521,0.1448658,1446311
2016,PSL,7527,0.033231348,44653,0.197140877,226503
2016,PSOL,11587,0.094583895,46275,0.377739684,122505
2016,PSTU,541,0.031086594,4452,0.255817962,17403
2016,PT,28978,0.018265122,271191,0.17093439,1586521
2016,PTB,14540,0.012189151,119866,0.100485889,1192864
2016,PTC,5919,0.029836978,33146,0.16708506,198378
2016,PV,12498,0.033207832,85046,0.225971617,376357
2016,REDE,1927,0.109110469,6355,0.359832399,17661
2016,REPUBLICANOS,21433,0.055056783,125832,0.323235437,389289
2016,SOLIDARIEDADE,26176,0.144610795,70775,0.391000497,181010
2018,BRASIL,,0.1617,,0.3264,
2018,AVANTE,3666,0.019590973,28640,0.153051136,187127
2018,CIDADANIA,5322,0.011070249,49345,0.102642133,480748
2018,DC,3291,0.017591499,31599,0.168907253,187079
2018,DEM,7951,0.007271374,79667,0.072857318,1093466
2018,MEDIA,,0.034395966,,0.186443013,
2018,MDB,22849,0.009550321,188804,0.078915437,2392485
2018,NOVO,1003,0.038260538,7678,0.292885752,26215
2018,PATRIOTA,6857,0.085692148,24956,0.311875929,80019
2018,PCB,56,0.003814194,1389,0.09460564,14682
2018,PCDOB,9116,0.022936103,71945,0.181015569,397452
2018,PCO,175,0.047005103,618,0.165995165,3723
2018,PDT,13738,0.010930136,119805,0.095318452,1256892
2018,PHS,8907,0.041385944,47014,0.218448271,215218
2018,PL,8275,0.010383441,75023,0.094138595,796942
2018,PMB,4619,0.10780218,14714,0.34340794,42847
2018,PMN,3869,0.017495309,26598,0.120274028,221145
2018,PODE,5100,0.030509691,33064,0.197798516,167160
2018,PP,14298,0.009897371,106420,0.073666125,1444626
2018,PPL,2751,0.068359715,12336,0.306537783,40243
2018,PROS,8266,0.08496161,31732,0.326155554,97291
2018,PRP,5028,0.020064247,34017,0.135744927,250595
2018,PRTB,3179,0.022905439,24454,0.176196789,138788
2018,PSB,13207,0.020135814,100287,0.152900765,655896
2018,PSC,8913,0.021063801,66856,0.157998596,423143
2018,PSD,16610,0.050789205,88030,0.269173613,327038
2018,PSDB,23742,0.016265398,170884,0.117070858,1459663
2018,PSL,6438,0.026704164,40772,0.169118074,241086
2018,PSOL,11764,0.078358756,52309,0.348424699,150130
2018,PSTU,278,0.016216532,2380,0.138832176,17143
2018,PT,14854,0.009332894,208625,0.131080848,1591575
2018,PTB,8953,0.007514121,89982,0.075520567,1191490
2018,PTC,3529,0.017715686,26476,0.132910312,199202
2018,PV,6902,0.018330301,65804,0.174761974,376535
2018,REDE,2149,0.090138836,7796,0.326999706,23841
2018,REPUBLICANOS,14444,0.036240193,107610,0.269994957,398563
2018,SOLIDARIEDADE,22918,0.107575537,74624,0.350279993,213041
2020,BRASIL,,0.1559,,0.3174,
2020,AVANTE,5925,0.027901654,34584,0.162860897,212353
2020,CIDADANIA,5673,0.012359046,43140,0.093983652,459016
2020,DC,2481,0.013896513,25244,0.141396037,178534
2020,DEM,10949,0.010678492,78785,0.076838526,1025332
2020,MEDIA,,0.035914426,,0.176900165,
2020,MDB,22263,0.010289947,168435,0.077850569,2163568
2020,NOVO,1327,0.03151046,10115,0.240187116,42113
2020,PATRIOTA,9844,0.029676077,56404,0.170037532,331715
2020,PCB,55,0.004312034,917,0.071893375,12755
2020,PCDOB,8171,0.019634889,70281,0.168885033,416147
2020,PCO,300,0.068838917,878,0.201468564,4358
2020,PDT,14872,0.012794769,111916,0.096284252,1162350
2020,PL,9890,0.012817788,72537,0.094010503,771584
2020,PMB,3517,0.074743911,14357,0.305117525,47054
2020,PMN,2722,0.012439448,22470,0.10268714,218820
2020,PODE,13803,0.033734804,79757,0.194927681,409162
2020,PP,17546,0.013075295,110928,0.082663646,1341920
2020,PRTB,3601,0.024426145,23932,0.162334491,147424
2020,PSB,11759,0.018333048,90428,0.140983147,641410
2020,PSC,8554,0.02038856,62575,0.149148252,419549
2020,PSD,17491,0.043013476,100847,0.248000689,406640
2020,PSDB,19776,0.014337281,149199,0.108166871,1379341
2020,PSL,20710,0.047547984,94393,0.216716411,435560
2020,PSOL,13486,0.072285024,62202,0.333403013,186567
2020,PSTU,145,0.009168511,1838,0.11621878,15815
2020,PT,16290,0.01061132,179093,0.116661336,1535153
2020,PTB,10266,0.009400204,81494,0.074621098,1092104
2020,PTC,3442,0.018173178,24355,0.128590285,189400
2020,PV,5946,0.016265456,55038,0.150558048,365560
2020,REDE,2638,0.078788603,10072,0.30081835,33482
2020,REPUBLICANOS,17483,0.036518168,116421,0.243178039,478748
2020,SOLIDARIEDADE,18546,0.073379468,79172,0.313253489,252741
2020,UP,299,0.267921147,644,0.577060932,1116