Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
Prefeito,MG,BELO HORIZONTE,PSB,40,CELIO DE CASTRO,"809,992",Eleito,76.503,(sem coligação)
Prefeito,SP,SAO PAULO,PPB,11,CELSO ROBERTO PITTA DO NASCIMENTO,"3,178,330",Eleito,62.284,(sem coligação)
Prefeito,MG,UBERLANDIA,PPB,11,VIRGILIO GALASSI,"110,795",Eleito,50.164,(sem coligação)
Prefeito,SC,FLORIANOPOLIS,PPB,11,ANGELA REGINA HEINZEN AMIN HELOU,"87,856",Eleito,53.841,(sem coligação)
Prefeito,SC,JOINVILLE,PMDB,15,LUIZ HENRIQUE DA SILVEIRA,"112,469",Eleito,56.848,(sem coligação)
Prefeito,PA,BELEM,PT,13,EDMILSON BRITO RODRIGUES,"291,184",Eleito,57.473,(sem coligação)
Prefeito,AL,MACEIO,PSB,40,KATIA BORN RIBEIRO,"112,123",Eleito,50.988,(sem coligação)
Prefeito,AM,MANAUS,PPB,11,ALFREDO PEREIRA DO NASCIMENTO,"235,508",Eleito,50.273,(sem coligação)
Prefeito,BA,FEIRA DE SANTANA,PPB,11,JOSE FALCAO DA SILVA,"88,076",Eleito,52.148,(sem coligação)
Prefeito,GO,GOIANIA,PSDB,45,NION ALBERNAZ,"247,833",Eleito,55.71,(sem coligação)
Prefeito,MA,SAO LUIS,PDT,12,JACKSON KEPLER LAGO,"169,015",Eleito,56.838,(sem coligação)
Prefeito,MS,CAMPO GRANDE,PMDB,15,ANDRE PUCCINELLI,"131,124",Eleito,50.078,(sem coligação)
Prefeito,PB,JOAO PESSOA,PMDB,15,CICERO DE LUCENA FILHO,"115,937",Eleito,55.358,(sem coligação)
Prefeito,PE,JABOATAO,PPB,11,NEWTON DEMERY CARNEIRO,"110,235",Eleito,56.492,(sem coligação)
Prefeito,PI,TERESINA,PSDB,45,FIRMINO DA SILVEIRA SOARES FILHO,"127,686",Eleito,53.297,(sem coligação)
Prefeito,PR,LONDRINA,PDT,12,ANTONIO CASEMIRO BELINATI,"105,988",Eleito,52.738,(sem coligação)
Prefeito,RJ,DUQUE DE CAXIAS,PSDB,45,JOSE CAMILO ZITO DOS SANTOS FILHO,"195,778",Eleito,57.908,(sem coligação)
Prefeito,RJ,RIO DE JANEIRO,PFL,25,LUIZ PAULO FERNANDEZ CONDE,"1,735,415",Eleito,62.17,(sem coligação)
Prefeito,RJ,SAO JOAO DE MERITI,PFL,25,ANTONIO PEREIRA ALVES DE CARVALHO,"138,810",Eleito,63.673,(sem coligação)
Prefeito,RN,NATAL,PSB,40,VILMA MARIA DE FARIA MEIRA,"136,396",Eleito,51.679,(sem coligação)
Prefeito,RS,CAXIAS DO SUL,PT,13,GILBERTO JOSE SPIER VARGAS,"90,792",Eleito,51.135,(sem coligação)
Prefeito,RS,PELOTAS,PDT,12,JOSE ANSELMO RODRIGUES,"85,472",Eleito,51.839,(sem coligação)
Prefeito,SE,ARACAJU,PMDB,15,JOAO AUGUSTO GAMA DA SILVA,"98,816",Eleito,53.361,(sem coligação)
Prefeito,SP,SOROCABA,PSDB,45,RENATO FAUVEL AMARY,"102,139",Eleito,52.407,(sem coligação)
Prefeito,SP,CAMPINAS,PPB,11,FRANCISCO CHICO AMARAL,"261,370",Eleito,65.723,(sem coligação)
Prefeito,SP,GUARULHOS,PDT,12,NEFI TALES,"277,835",Eleito,74.183,(sem coligação)
Prefeito,SP,RIBEIRAO PRETO,PSDB,45,LUIZ ROBERTO JABALI,"115,098",Eleito,50.344,(sem coligação)
Prefeito,SP,SANTOS,PPB,11,PAULO ROBERTO GOMES MANSUR,"131,036",Eleito,51.444,(sem coligação)
Prefeito,SP,SAO BERNARDO DO CAMPO,PSDB,45,MAURICIO SOARES DE ALMEIDA,"185,416",Eleito,63.175,(sem coligação)
Prefeito,SP,SAO JOSE DOS CAMPOS,PSDB,45,EMANUEL FERNANDES,"137,339",Eleito,62.965,(sem coligação)
Prefeito,MG,JUIZ DE FORA,PMDB,15,RAYMUNDO TARCISIO DELGADO,"134,540",Eleito,60.079,(sem coligação)