PARTIDO;ANO;VALOR;PROPORCAO
MDB;2008;19324268;0,14
MDB;2009;22344308;0,14
MDB;2010;22653904;0,14
MDB;2011;33978554;0,13
MDB;2012;36392396;0,13
MDB;2013;35326039;0,12
MDB;2014;35935895;0,11
MDB;2015;86861849;0,11
MDB;2016;78796611;0,11
MDB;2017;71063640;0,11
MDB;2018;83292844;0,11
MDB;2019;42174696;0,06
PT;2008;NA;NA
PT;2009;NA;NA
PT;2010;NA;NA
PT;2011;NA;NA
PT;2012;NA;NA
PT;2013;NA;NA
PT;2014;NA;NA
PT;2015;NA;NA
PT;2016;NA;NA
PT;2017;NA;NA
PT;2018;NA;NA
PT;2019;NA;NA
PSL;2008;NA;NA
PSL;2009;NA;NA
PSL;2010;NA;NA
PSL;2011;NA;NA
PSL;2012;NA;NA
PSL;2013;NA;NA
PSL;2014;NA;NA
PSL;2015;NA;NA
PSL;2016;NA;NA
PSL;2017;NA;NA
PSL;2018;NA;NA
PSL;2019;NA;NA
PSDB;2008;NA;NA
PSDB;2009;NA;NA
PSDB;2010;NA;NA
PSDB;2011;NA;NA
PSDB;2012;NA;NA
PSDB;2013;NA;NA
PSDB;2014;NA;NA
PSDB;2015;NA;NA
PSDB;2016;NA;NA
PSDB;2017;NA;NA
PSDB;2018;NA;NA
PSDB;2019;NA;NA
PDT;2008;NA;NA
PDT;2009;NA;NA
PDT;2010;NA;NA
PDT;2011;NA;NA
PDT;2012;NA;NA
PDT;2013;NA;NA
PDT;2014;NA;NA
PDT;2015;NA;NA
PDT;2016;NA;NA
PDT;2017;NA;NA
PDT;2018;NA;NA
PDT;2019;NA;NA
PSOL;2008;NA;NA
PSOL;2009;NA;NA
PSOL;2010;NA;NA
PSOL;2011;NA;NA
PSOL;2012;NA;NA
PSOL;2013;NA;NA
PSOL;2014;NA;NA
PSOL;2015;NA;NA
PSOL;2016;NA;NA
PSOL;2017;NA;NA
PSOL;2018;NA;NA
PSOL;2019;NA;NA
NOVO;2008;NA;NA
NOVO;2009;NA;NA
NOVO;2010;NA;NA
NOVO;2011;NA;NA
NOVO;2012;NA;NA
NOVO;2013;NA;NA
NOVO;2014;NA;NA
NOVO;2015;NA;NA
NOVO;2016;NA;NA
NOVO;2017;NA;NA
NOVO;2018;NA;NA
NOVO;2019;NA;NA
PSB;2008;NA;NA
PSB;2009;NA;NA
PSB;2010;NA;NA
PSB;2011;NA;NA
PSB;2012;NA;NA
PSB;2013;NA;NA
PSB;2014;NA;NA
PSB;2015;NA;NA
PSB;2016;NA;NA
PSB;2017;NA;NA
PSB;2018;NA;NA
PSB;2019;NA;NA
DEM;2008;NA;NA
DEM;2009;NA;NA
DEM;2010;NA;NA
DEM;2011;NA;NA
DEM;2012;NA;NA
DEM;2013;NA;NA
DEM;2014;NA;NA
DEM;2015;NA;NA
DEM;2016;NA;NA
DEM;2017;NA;NA
DEM;2018;NA;NA
DEM;2019;NA;NA
PP;2008;NA;NA
PP;2009;NA;NA
PP;2010;NA;NA
PP;2011;NA;NA
PP;2012;NA;NA
PP;2013;NA;NA
PP;2014;NA;NA
PP;2015;NA;NA
PP;2016;NA;NA
PP;2017;NA;NA
PP;2018;NA;NA
PP;2019;NA;NA
PTB;2008;NA;NA
PTB;2009;NA;NA
PTB;2010;NA;NA
PTB;2011;NA;NA
PTB;2012;NA;NA
PTB;2013;NA;NA
PTB;2014;NA;NA
PTB;2015;NA;NA
PTB;2016;NA;NA
PTB;2017;NA;NA
PTB;2018;NA;NA
PTB;2019;NA;NA
REPUBLICANOS;2008;NA;NA
REPUBLICANOS;2009;NA;NA
REPUBLICANOS;2010;NA;NA
REPUBLICANOS;2011;NA;NA
REPUBLICANOS;2012;NA;NA
REPUBLICANOS;2013;NA;NA
REPUBLICANOS;2014;NA;NA
REPUBLICANOS;2015;NA;NA
REPUBLICANOS;2016;NA;NA
REPUBLICANOS;2017;NA;NA
REPUBLICANOS;2018;NA;NA
REPUBLICANOS;2019;NA;NA
PL;2008;NA;NA
PL;2009;NA;NA
PL;2010;NA;NA
PL;2011;NA;NA
PL;2012;NA;NA
PL;2013;NA;NA
PL;2014;NA;NA
PL;2015;NA;NA
PL;2016;NA;NA
PL;2017;NA;NA
PL;2018;NA;NA
PL;2019;NA;NA
PV;2008;NA;NA
PV;2009;NA;NA
PV;2010;NA;NA
PV;2011;NA;NA
PV;2012;NA;NA
PV;2013;NA;NA
PV;2014;NA;NA
PV;2015;NA;NA
PV;2016;NA;NA
PV;2017;NA;NA
PV;2018;NA;NA
PV;2019;NA;NA
REDE;2008;NA;NA
REDE;2009;NA;NA
REDE;2010;NA;NA
REDE;2011;NA;NA
REDE;2012;NA;NA
REDE;2013;NA;NA
REDE;2014;NA;NA
REDE;2015;NA;NA
REDE;2016;NA;NA
REDE;2017;NA;NA
REDE;2018;NA;NA
REDE;2019;NA;NA
PCB;2008;NA;NA
PCB;2009;NA;NA
PCB;2010;NA;NA
PCB;2011;NA;NA
PCB;2012;NA;NA
PCB;2013;NA;NA
PCB;2014;NA;NA
PCB;2015;NA;NA
PCB;2016;NA;NA
PCB;2017;NA;NA
PCB;2018;NA;NA
PCB;2019;NA;NA
PCDOB;2008;NA;NA
PCDOB;2009;NA;NA
PCDOB;2010;NA;NA
PCDOB;2011;NA;NA
PCDOB;2012;NA;NA
PCDOB;2013;NA;NA
PCDOB;2014;NA;NA
PCDOB;2015;NA;NA
PCDOB;2016;NA;NA
PCDOB;2017;NA;NA
PCDOB;2018;NA;NA
PCDOB;2019;NA;NA
CIDADANIA;2008;NA;NA
CIDADANIA;2009;NA;NA
CIDADANIA;2010;NA;NA
CIDADANIA;2011;NA;NA
CIDADANIA;2012;NA;NA
CIDADANIA;2013;NA;NA
CIDADANIA;2014;NA;NA
CIDADANIA;2015;NA;NA
CIDADANIA;2016;NA;NA
CIDADANIA;2017;NA;NA
CIDADANIA;2018;NA;NA
CIDADANIA;2019;NA;NA
AVANTE;2008;NA;NA
AVANTE;2009;NA;NA
AVANTE;2010;NA;NA
AVANTE;2011;NA;NA
AVANTE;2012;NA;NA
AVANTE;2013;NA;NA
AVANTE;2014;NA;NA
AVANTE;2015;NA;NA
AVANTE;2016;NA;NA
AVANTE;2017;NA;NA
AVANTE;2018;NA;NA
AVANTE;2019;NA;NA
SOLIDARIEDADE;2008;NA;NA
SOLIDARIEDADE;2009;NA;NA
SOLIDARIEDADE;2010;NA;NA
SOLIDARIEDADE;2011;NA;NA
SOLIDARIEDADE;2012;NA;NA
SOLIDARIEDADE;2013;NA;NA
SOLIDARIEDADE;2014;NA;NA
SOLIDARIEDADE;2015;NA;NA
SOLIDARIEDADE;2016;NA;NA
SOLIDARIEDADE;2017;NA;NA
SOLIDARIEDADE;2018;NA;NA
SOLIDARIEDADE;2019;NA;NA
PODE;2008;NA;NA
PODE;2009;NA;NA
PODE;2010;NA;NA
PODE;2011;NA;NA
PODE;2012;NA;NA
PODE;2013;NA;NA
PODE;2014;NA;NA
PODE;2015;NA;NA
PODE;2016;NA;NA
PODE;2017;NA;NA
PODE;2018;NA;NA
PODE;2019;NA;NA
PMB;2008;NA;NA
PMB;2009;NA;NA
PMB;2010;NA;NA
PMB;2011;NA;NA
PMB;2012;NA;NA
PMB;2013;NA;NA
PMB;2014;NA;NA
PMB;2015;NA;NA
PMB;2016;NA;NA
PMB;2017;NA;NA
PMB;2018;NA;NA
PMB;2019;NA;NA
PROS;2008;NA;NA
PROS;2009;NA;NA
PROS;2010;NA;NA
PROS;2011;NA;NA
PROS;2012;NA;NA
PROS;2013;NA;NA
PROS;2014;NA;NA
PROS;2015;NA;NA
PROS;2016;NA;NA
PROS;2017;NA;NA
PROS;2018;NA;NA
PROS;2019;NA;NA
PSD;2008;NA;NA
PSD;2009;NA;NA
PSD;2010;NA;NA
PSD;2011;NA;NA
PSD;2012;NA;NA
PSD;2013;NA;NA
PSD;2014;NA;NA
PSD;2015;NA;NA
PSD;2016;NA;NA
PSD;2017;NA;NA
PSD;2018;NA;NA
PSD;2019;NA;NA
PSC;2008;NA;NA
PSC;2009;NA;NA
PSC;2010;NA;NA
PSC;2011;NA;NA
PSC;2012;NA;NA
PSC;2013;NA;NA
PSC;2014;NA;NA
PSC;2015;NA;NA
PSC;2016;NA;NA
PSC;2017;NA;NA
PSC;2018;NA;NA
PSC;2019;NA;NA
DC;2008;NA;NA
DC;2009;NA;NA
DC;2010;NA;NA
DC;2011;NA;NA
DC;2012;NA;NA
DC;2013;NA;NA
DC;2014;NA;NA
DC;2015;NA;NA
DC;2016;NA;NA
DC;2017;NA;NA
DC;2018;NA;NA
DC;2019;NA;NA
PTC;2008;NA;NA
PTC;2009;NA;NA
PTC;2010;NA;NA
PTC;2011;NA;NA
PTC;2012;NA;NA
PTC;2013;NA;NA
PTC;2014;NA;NA
PTC;2015;NA;NA
PTC;2016;NA;NA
PTC;2017;NA;NA
PTC;2018;NA;NA
PTC;2019;NA;NA
PRTB;2008;NA;NA
PRTB;2009;NA;NA
PRTB;2010;NA;NA
PRTB;2011;NA;NA
PRTB;2012;NA;NA
PRTB;2013;NA;NA
PRTB;2014;NA;NA
PRTB;2015;NA;NA
PRTB;2016;NA;NA
PRTB;2017;NA;NA
PRTB;2018;NA;NA
PRTB;2019;NA;NA
PMN;2008;NA;NA
PMN;2009;NA;NA
PMN;2010;NA;NA
PMN;2011;NA;NA
PMN;2012;NA;NA
PMN;2013;NA;NA
PMN;2014;NA;NA
PMN;2015;NA;NA
PMN;2016;NA;NA
PMN;2017;NA;NA
PMN;2018;NA;NA
PMN;2019;NA;NA
PATRI;2008;NA;NA
PATRI;2009;NA;NA
PATRI;2010;NA;NA
PATRI;2011;NA;NA
PATRI;2012;NA;NA
PATRI;2013;NA;NA
PATRI;2014;NA;NA
PATRI;2015;NA;NA
PATRI;2016;NA;NA
PATRI;2017;NA;NA
PATRI;2018;NA;NA
PATRI;2019;NA;NA
PSTU;2008;NA;NA
PSTU;2009;NA;NA
PSTU;2010;NA;NA
PSTU;2011;NA;NA
PSTU;2012;NA;NA
PSTU;2013;NA;NA
PSTU;2014;NA;NA
PSTU;2015;NA;NA
PSTU;2016;NA;NA
PSTU;2017;NA;NA
PSTU;2018;NA;NA
PSTU;2019;NA;NA
PCO;2008;NA;NA
PCO;2009;NA;NA
PCO;2010;NA;NA
PCO;2011;NA;NA
PCO;2012;NA;NA
PCO;2013;NA;NA
PCO;2014;NA;NA
PCO;2015;NA;NA
PCO;2016;NA;NA
PCO;2017;NA;NA
PCO;2018;NA;NA
PCO;2019;NA;NA
UP;2008;NA;NA
UP;2009;NA;NA
UP;2010;NA;NA
UP;2011;NA;NA
UP;2012;NA;NA
UP;2013;NA;NA
UP;2014;NA;NA
UP;2015;NA;NA
UP;2016;NA;NA
UP;2017;NA;NA
UP;2018;NA;NA
UP;2019;NA;NA
