OPM,JANEIRO,FEVEREIRO,MARÃ‡O,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO
02,439,440,440,437,436,436,431,428,419,434,431,429
03,526,523,524,523,516,511,513,510,509,539,534,532
04,456,449,448,448,445,436,435,432,427,457,460,445
05,732,793,820,818,820,817,817,800,805,789,809,828
06,449,444,447,442,441,434,433,426,430,452,448,442
07,891,887,888,886,885,885,877,873,871,890,885,880
08,1069,1064,1059,1060,1049,1049,1046,1035,1034,1033,1036,1037
09,543,547,550,550,543,533,528,524,526,551,548,549
10,849,849,849,849,849,847,854,850,846,847,847,847
11,543,544,544,538,536,536,535,533,531,530,533,533
12,1007,1006,1003,997,997,989,986,978,972,1001,1000,989
14,498,495,501,497,495,488,480,476,479,494,496,498
15,767,762,764,759,764,766,760,758,775,790,794,793
16,462,448,457,460,456,452,454,458,455,453,457,474
17,320,320,320,319,315,312,311,311,311,304,304,304
18,430,437,436,437,436,438,433,426,424,422,449,447
19,356,356,361,360,357,356,358,356,355,365,369,369
20,962,955,953,947,941,942,935,913,924,956,951,944
21,432,429,432,430,429,427,424,428,441,455,455,453
22,459,464,461,458,442,442,442,440,434,419,420,419
23,650,648,641,627,628,621,616,613,609,594,589,582
24,446,448,445,443,442,439,433,435,450,460,459,460
25,830,829,828,826,815,814,822,824,826,831,836,832
26,399,398,404,402,403,403,407,407,407,407,410,410
27,402,400,395,393,392,387,382,378,375,396,396,390
28,700,698,697,697,695,692,687,685,691,690,691,695
29,837,838,836,831,824,825,824,823,824,830,824,824
30,393,397,401,401,398,395,397,393,394,397,400,399
31,557,553,552,548,549,545,549,543,542,585,584,580
32,769,769,767,762,777,771,775,764,773,793,797,795
33,512,512,512,512,511,503,504,499,504,529,529,528
34,355,356,359,355,355,357,354,352,374,385,382,380
35,464,464,471,472,471,472,472,472,460,461,470,467
36,523,521,517,518,518,514,514,510,511,510,508,510
37,376,371,368,367,366,366,364,361,368,370,366,366
38,384,384,383,388,391,385,385,383,383,389,389,399
39,340,344,344,346,342,339,340,336,357,372,366,334
40,367,358,356,357,353,344,342,341,341,345,362,366
41,576,571,564,571,566,562,563,563,562,590,594,589
